CLUSTER,CLUSTER_LATITUDE,CLUSTER_LONGITUDE,NUMBER_OF_CUSTOMERS_IN_A_CLUSTER,ITERATION,Key,NUMBER_OF_CLUSTERS
6,49.29751107142857,4.5419272141428575,28,1,0,8
7,50.428100263157894,3.521892630421053,19,1,0,8
0,50.16397,2.6356799067999996,20,2,0,8
1,51.12148339285716,3.8886151319285718,28,2,0,8
2,50.97811599999999,5.1682660612400015,25,2,0,8
3,49.47402462962963,3.2352678194444446,27,2,0,8
4,49.708603,4.97726473956,25,2,0,8
5,50.323075263157904,5.101339366526316,19,2,0,8
6,49.158748124999995,4.500484838458334,24,2,0,8
7,50.472783750000005,3.34673680075,20,2,0,8
0,50.16397,2.6356799067999996,20,3,0,8
1,51.095653333333345,3.9950171658888887,27,3,0,8
2,51.02564717391305,5.199447065217392,23,3,0,8
3,49.47402462962963,3.2352678194444446,27,3,0,8
4,49.737866590909086,4.947241851318181,22,3,0,8
5,50.30693847826089,5.0611287077826095,23,3,0,8
6,49.164658461538465,4.549618516538462,26,3,0,8
7,50.56136375000001,3.17016026995,20,3,0,8
0,50.16012357142857,2.672006232238095,21,4,0,8
1,51.09761615384617,4.035434757038462,26,4,0,8
2,51.02564717391305,5.199447065217392,23,4,0,8
3,49.47402462962963,3.2352678194444446,27,4,0,8
4,49.737866590909086,4.947241851318181,22,4,0,8
5,50.29940854166668,5.019537056125001,24,4,0,8
6,49.164658461538465,4.549618516538462,26,4,0,8
7,50.634867368421055,3.0992580729473684,19,4,0,8
0,50.15814613636364,2.703784096,22,5,0,8
1,51.09065800000001,4.07618920844,25,5,0,8
2,51.03681545454546,5.191776246954546,22,5,0,8
3,49.494286071428576,3.2572440209285713,28,5,0,8
4,49.722991428571426,4.965372224904762,21,5,0,8
5,50.28944200000001,5.001415734120001,25,5,0,8
6,49.164658461538465,4.549618516538462,26,5,0,8
7,50.73452789473684,3.160471643631579,19,5,0,8
0,50.15836239130435,2.7331345773478257,23,6,0,8
1,51.08520804347826,4.142147870869565,23,6,0,8
2,51.02564717391305,5.199447065217392,23,6,0,8
3,49.494286071428576,3.2572440209285713,28,6,0,8
4,49.70783875,4.98648299715,20,6,0,8
5,50.279311346153854,4.983790389730771,26,6,0,8
6,49.164658461538465,4.549618516538462,26,6,0,8
7,50.806296315789474,3.0493284303157893,19,6,0,8
0,50.16259708333333,2.7645375079166663,24,7,0,8
1,51.08520804347826,4.142147870869565,23,7,0,8
2,51.03681545454546,5.191776246954546,22,7,0,8
3,49.494286071428576,3.2572440209285713,28,7,0,8
4,49.69273315789474,4.990087362315789,19,7,0,8
5,50.268775555555564,4.9813537108148145,27,7,0,8
6,49.164658461538465,4.549618516538462,26,7,0,8
7,50.83366210526316,3.1483494911578944,19,7,0,8
0,50.16259708333333,2.7645375079166663,24,8,0,8
1,51.0728825,4.178377545,22,8,0,8
2,51.02564717391305,5.199447065217392,23,8,0,8
3,49.494286071428576,3.2572440209285713,28,8,0,8
4,49.69273315789474,4.990087362315789,19,8,0,8
5,50.268775555555564,4.9813537108148145,27,8,0,8
6,49.164658461538465,4.549618516538462,26,8,0,8
7,50.86400026315789,3.0418700160526315,19,8,0,8
0,50.16259708333333,2.7645375079166663,24,9,0,8
1,51.0728825,4.178377545,22,9,0,8
2,51.02564717391305,5.199447065217392,23,9,0,8
3,49.494286071428576,3.2572440209285713,28,9,0,8
4,49.69273315789474,4.990087362315789,19,9,0,8
5,50.268775555555564,4.9813537108148145,27,9,0,8
6,49.164658461538465,4.549618516538462,26,9,0,8
7,50.86400026315789,3.0418700160526315,19,9,0,8
0,50.1250319047619,4.104374469476191,21,0,0,9
1,50.03635095238096,3.671220407571428,21,0,0,9
2,50.23200452380952,4.3779657534285725,21,0,0,9
3,50.03771523809523,4.004366562761905,21,0,0,9
4,49.99492714285715,4.327821416571428,21,0,0,9
5,50.08130333333334,4.2878637575714285,21,0,0,9
6,50.55415928571428,4.001113538428571,21,0,0,9
7,49.90657,4.130653613238095,21,0,0,9
8,50.63611625,4.17220865885,20,0,0,9
0,50.29266705882353,4.0836511518823535,17,1,0,9
1,49.89046499999999,2.8117345983199997,25,1,0,9
2,50.53262000000001,5.119304656950002,20,1,0,9
3,49.71388323529412,3.127535087411765,17,1,0,9
4,49.454386176470585,4.984178771647059,17,1,0,9
5,49.98612147058823,5.16437877682353,17,1,0,9
6,50.94446400000001,3.346466732,25,1,0,9
7,49.339574999999996,4.15996542752,25,1,0,9
8,51.097466,4.760049464000001,25,1,0,9
0,50.28918176470589,4.080693132117648,17,2,0,9
1,50.12916204545456,2.656079234045454,22,2,0,9
2,50.623757499999996,5.254067965550001,20,2,0,9
3,49.44345157894738,3.0395533064210523,19,2,0,9
4,49.307747272727276,5.039541795045455,22,2,0,9
5,50.09766852941176,5.1559930702352945,17,2,0,9
6,50.950695,3.2108075427916667,24,2,0,9
7,49.34276090909091,4.077721703272728,22,2,0,9
8,51.14420100000001,4.7411073746,25,2,0,9
0,50.19942882352941,4.040516687411766,17,3,0,9
1,50.148971136363635,2.6955098315454546,22,3,0,9
2,50.74923184210527,5.320465508736842,19,3,0,9
3,49.355455294117654,2.9273146313529406,17,3,0,9
4,49.307747272727276,5.039541795045455,22,3,0,9
5,50.097577894736844,5.128538858578947,19,3,0,9
6,50.950695,3.2108075427916667,24,3,0,9
7,49.36190043478261,4.064785413565219,23,3,0,9
8,51.133641000000004,4.6700938542,25,3,0,9
0,50.144458235294124,4.0065233808235305,17,4,0,9
1,50.148971136363635,2.6955098315454546,22,4,0,9
2,50.81774763157895,5.377826813789475,19,4,0,9
3,49.43515382352942,3.0349833570588234,17,4,0,9
4,49.307747272727276,5.039541795045455,22,4,0,9
5,50.11361000000001,5.113035808,20,4,0,9
6,50.94781130434783,3.176578657869565,23,4,0,9
7,49.3463395652174,4.054248443565218,23,4,0,9
8,51.10302200000001,4.5532777517200005,25,4,0,9
0,50.091376578947376,3.95103501963158,19,5,0,9
1,50.15051166666666,2.663337955190476,21,5,0,9
